Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
ORDER TO CEASE AND DESIST,2008-07-31,2009-07-17,TIMBERLAND BANK;,0;,N/A;,0;,N/A;,TIMBERLAND BANK;,EL DORADO;,AR;,57024;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-145b,2008-07-01.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4J5AAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-01,,"MORRIS BUILDING AND LOAN, S.B.;",0;,N/A;,0;,N/A;,"MORRIS BUILDING AND LOAN, S.B.;",MORRIS;,IL;,28427;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-217b,2008-08-25.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OMAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-01,2010-11-16,MCCLAVE STATE BANK;,0;,N/A;,0;,N/A;,MCCLAVE STATE BANK;,MCCLAVE;,CO;,11261;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-118b,2008-08-04.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4N2AAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-08-01,,AMERICAN METRO BANK;,0;,N/A;,0;,N/A;,AMERICAN METRO BANK;,CHICAGO;,IL;,34334;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-114b,2009-04-51.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5x1AAC?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-04,,STATE BANK & TRUST COMPANY;,0;,N/A;,0;,N/A;,STATE BANK & TRUST COMPANY;,HARRODSBURG;,KY;,12157;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-231b,2008-08-26.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OtAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-05,2011-09-28,PARKWAY BANK;,0;,N/A;,0;,N/A;,PARKWAY BANK;,ROGERS;,AR;,20160;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-128b,2008-08-01.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4MzAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-08,,FIRST STATE BANK OF KENSINGTON;,0;,N/A;,0;,N/A;,FIRST STATE BANK OF KENSINGTON;,KENSINGTON;,MN;,1409;,Termination of Action,Cease and Desist / Consent Orders,FDIC-06-101b,2008-08-27.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4HxAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-08,,FIRST STATE BANK OF KENSINGTON;,0;,N/A;,0;,N/A;,FIRST STATE BANK OF KENSINGTON;,KENSINGTON;,MN;,1409;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-130b,2008-08-28.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OuAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-12,2015-04-16,BANK REALE;,0;,N/A;,0;,N/A;,BANK REALE;,PASCO;,WA;,58183;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-120b,2008-08-11.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NfAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-12,2012-03-30,"HOME SAVINGS AND LOAN COMPANY, THE;",0;,N/A;,0;,N/A;,"HOME SAVINGS AND LOAN COMPANY, THE;",YOUNGSTOWN;,OH;,30176;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-175b,2008-08-08.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NcAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-14,,TWIN CITY BANK;,0;,N/A;,0;,N/A;,TWIN CITY BANK;,LONGVIEW;,WA;,35261;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-118b,2008-08-30.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OwAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-14,2011-04-01,STRATEGIC CAPITAL BANK;,0;,N/A;,0;,N/A;,STRATEGIC CAPITAL BANK;,CHAMPAIGN;,IL;,35175;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-205b,2008-08-05.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4N3AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-15,2010-06-30,LIBERTAD BANK SSB;,0;,N/A;,0;,N/A;,LIBERTAD BANK SSB;,AUSTIN;,TX;,58082;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-119b,2008-08-09.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NdAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-08-15,,"GREENE COUNTY BANK, THE;",0;,N/A;,0;,N/A;,"GREENE COUNTY BANK, THE;",STRAFFORD;,MO;,18653;,Termination of Action,Cease and Desist / Consent Orders,FDIC-06-227b,2008-08-29.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OvAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-19,2014-07-15,SALLIE MAE BANK;,0;,N/A;,0;,N/A;,SALLIE MAE BANK;,MURRAY;,UT;,58177;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-86b,2008-08-10.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NeAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-20,,PAN AMERICAN BANK;,0;,N/A;,0;,N/A;,PAN AMERICAN BANK;,LOS ANGELES;,CA;,20448;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-79b,2008-08-03.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4N1AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-21,2011-01-28,CHESTATEE STATE BANK;,0;,N/A;,0;,N/A;,CHESTATEE STATE BANK;,DAWSONVILLE;,GA;,34578;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-142b,2008-08-06.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NaAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-27,2012-08-23,LAKE COMMUNITY BANK;,0;,N/A;,0;,N/A;,LAKE COMMUNITY BANK;,LONG LAKE;,MN;,8193;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-114b,2008-08-07.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NbAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-27,2010-12-06,"MIZRAHI TEFAHOT BANK, LTD;",0;,N/A;,0;,N/A;,"MIZRAHI TEFAHOT BANK, LTD;",LOS ANGELES;,CA;,33661;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-82b,2008-08-02.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4N0AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-08-28,,SELECT BANK;,0;,N/A;,0;,N/A;,SELECT BANK;,GRAND RAPIDS;,MI;,34127;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-149b,2008-10-39.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JrAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-05,2010-07-28,FREEDOM BANK;,0;,N/A;,0;,N/A;,FREEDOM BANK;,BRADENTON;,FL;,57930;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-173b,2008-09-01.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OxAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-09,,AMERICA WEST BANK;,0;,N/A;,0;,N/A;,AMERICA WEST BANK;,LAYTON;,UT;,35461;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-150b,2008-09-05.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4P1AAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-09-12,,"COLUMBIAN BANK AND TRUST COMPANY, THE;",0;,N/A;,0;,N/A;,"COLUMBIAN BANK AND TRUST COMPANY, THE;",TOPEKA;,KS;,22728;,Termination of Action,Cease and Desist / Consent Orders,FDIC-08-85b,2008-09-27.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QOAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-14,,LEHMAN BROTHERS COMMERICAL BANK;,0;,N/A;,0;,N/A;,LEHMAN BROTHERS COMMERICAL BANK;,SALT LAKE CITY;,UT;,58009;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-242b,2008-09-06.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4P2AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-15,2010-08-20,CITIZENS COMMUNITY BANK;,0;,N/A;,0;,N/A;,CITIZENS COMMUNITY BANK;,RIDGEWOOD;,NJ;,57563;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-07-265b,2008-09-04.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4P0AAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-09-15,,DORAL BANK;,0;,N/A;,0;,N/A;,DORAL BANK;,CATANO;,;,32102;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-281b,2008-09-29.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QuAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-16,2013-12-31,BANKCHEROKEE;,0;,N/A;,0;,N/A;,BANKCHEROKEE;,ST. PAUL;,MN;,8537;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-168b,2008-09-02.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OyAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-18,2011-05-16,PEOPLES BANK;,0;,N/A;,0;,N/A;,PEOPLES BANK;,ELKHORN;,WI;,35367;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-144b,2008-09-07.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4PXAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-25,,FIRST ASIAN BANK;,0;,N/A;,0;,N/A;,FIRST ASIAN BANK;,LAS VEGAS;,NV;,58499;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-239b,2008-09-03.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4OzAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-09-26,2009-06-24,SOUTHERN COMMUNITY BANK;,0;,N/A;,0;,N/A;,SOUTHERN COMMUNITY BANK;,FAYETTEVILLE;,GA;,35251;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-156b,2008-09-30.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z65TAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,2008-09-30,,RICHTON BANK & TRUST;,0;,N/A;,0;,N/A;,RICHTON BANK & TRUST;,RICHTON;,MS;,11817;,Termination of Action,Cease and Desist / Consent Orders,FDIC-06-158b,2008-09-28.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QPAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-09-30,,1st STATE BANK;,0;,N/A;,0;,N/A;,1st STATE BANK;,SAGINAW;,MI;,57626;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-180b,2008-10-40.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JsAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-01,,MAGNETBANK;,0;,N/A;,0;,N/A;,MAGNETBANK;,SALT LAKE CITY;,UT;,58001;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-176b,2008-10-13.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4BEAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-01,2014-01-23,NORTHPOINTE BANK;,0;,N/A;,0;,N/A;,NORTHPOINTE BANK;,GRAND RAPIDS;,MI;,34953;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-160b,2008-10-38.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JqAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-02,2010-08-03,KENNEY BANK AND TRUST;,0;,N/A;,0;,N/A;,KENNEY BANK AND TRUST;,KENNEY;,IL;,22609;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-102b,2008-10-06.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4R0AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-02,2010-01-29,"BANK OF HARLAN, THE;",0;,N/A;,0;,N/A;,"BANK OF HARLAN, THE;",HARLAN;,KY;,14200;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-164b,2008-10-08.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4R2AAK?operationContext=S1
ORDER TERMINATING TEMPORARY ORDER TO CEASE AND DESIST,2008-10-09,,FIRST BANK OF DELAWARE;,0;,N/A;,0;,N/A;,FIRST BANK OF DELAWARE;,WILMINGTON;,DE;,34929;,Termination of Action,Cease and Desist / Consent Orders;Temporary Order to Cease and Desist,FDIC-08-151c&b; FDIC-07-256b,2008-10-37.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JLAA0?operationContext=S1
"ORDER TO CEASE AND DESIST, ORDER FOR RESTITUTION, AND ORDER TO PAY",2008-10-09,,FIRST BANK OF DELAWARE;,"304,000;",N/A;,0;,N/A;,FIRST BANK OF DELAWARE;,WILMINGTON;,DE;,34929;,Stipulated Orders and Written Agreements,Assessment of Civil Money Penalty;Cease and Desist / Consent Orders;Order for Restitution,FDIC-07-256b; FDIC-07-257k,2008-10-20.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4RhAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-10,2011-03-31,HERITAGE COMMUNITY BANK;,0;,N/A;,0;,N/A;,HERITAGE COMMUNITY BANK;,GLENWOOD;,IL;,20078;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-131b,2008-10-05.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QzAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-10-14,,PAN PACIFIC BANK;,0;,N/A;,0;,N/A;,PAN PACIFIC BANK;,FREMONT;,CA;,57989;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-194b,2008-10-33.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4LmAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-15,,ALLIANCE BANK;,0;,N/A;,0;,N/A;,ALLIANCE BANK;,CULVER CITY;,CA;,23124;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-265b,2008-10-02.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QwAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-16,2008-12-31,SANDERSON STATE BANK;,0;,N/A;,0;,N/A;,SANDERSON STATE BANK;,SANDERSON;,TX;,11568;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-124b,2008-10-12.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4RaAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-17,2011-11-30,FORT DAVIS STATE BANK;,0;,N/A;,0;,N/A;,FORT DAVIS STATE BANK;,FORT DAVIS;,TX;,17446;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-219b,2008-10-11.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4RZAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-17,,BANK OF WYOMING;,0;,N/A;,0;,N/A;,BANK OF WYOMING;,THERMOPOLIS;,WY;,22754;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-295b,2008-10-14.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4RbAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-21,2009-04-30,FIRSTBANK FINANCIAL SERVICES;,0;,N/A;,0;,N/A;,FIRSTBANK FINANCIAL SERVICES;,MCDONOUGH;,GA;,57017;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-165b,2008-10-04.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QyAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-27,2015-11-23,ONEUNITED BANK;,0;,N/A;,0;,N/A;,ONEUNITED BANK;,BOSTON;,MA;,23966;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-0294b,2008-10-09.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4R3AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-27,,POLK COUNTY BANK;,0;,N/A;,0;,N/A;,POLK COUNTY BANK;,JOHNSTON;,IA;,14194;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-210b,2008-10-07.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4R1AAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-10-28,,MESILLA VALLEY BANK;,0;,N/A;,0;,N/A;,MESILLA VALLEY BANK;,LAS CRUCES;,NM;,35492;,Termination of Action,Cease and Desist / Consent Orders,FDIC-06-168b,2008-10-35.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JJAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-10-28,,MESILLA VALLEY BANK;,0;,N/A;,0;,N/A;,MESILLA VALLEY BANK;,LAS CRUCES;,NM;,35492;,Termination of Action,Cease and Desist / Consent Orders,FDIC-08-40b,2008-10-36.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JKAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-10-29,,INTEGRITY BANK;,0;,N/A;,0;,N/A;,INTEGRITY BANK;,ALPHARETTA;,GA;,35469;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-259b,2008-10-34.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4LnAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-10-29,,FREMONT INVESTMENT & LOAN;,0;,N/A;,0;,N/A;,FREMONT INVESTMENT & LOAN;,BREA;,CA;,25653;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-35b,2008-10-32.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4IZAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-29,2012-12-13,EVABANK;,0;,N/A;,0;,N/A;,EVABANK;,EVA;,AL;,26799;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-209b,2008-10-01.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4QvAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-10-30,2011-10-13,SUN SECURITY BANK;,0;,N/A;,0;,N/A;,SUN SECURITY BANK;,ELLINGTON;,MO;,20115;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-180b,2008-10-10.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4R4AAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-04,2008-12-01,"FRANKLIN BANK, S.S.B.;",0;,N/A;,0;,N/A;,"FRANKLIN BANK, S.S.B.;",HOUSTON;,TX;,26870;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-297b,2008-11-08.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4KUAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-11-05,,"INDIAN VILLAGE COMMUNITY BANK (NOW KNOWN AS THE COMMERCIAL AND SAVINGS BANK OF MILLERSBURG, MILLERSBURG, OHIO);",0;,N/A;,0;,N/A;,"INDIAN VILLAGE COMMUNITY BANK (NOW KNOWN AS THE COMMERCIAL AND SAVINGS BANK OF MILLERSBURG, MILLERSBURG, OHIO);",GNADENHUTTEN;,OH;,28749;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-243b,2008-11-19.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NCAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-11-06,,"PATTERSON BANK, THE;",0;,N/A;,0;,N/A;,"PATTERSON BANK, THE;",PATTERSON;,GA;,10055;,Termination of Action,Cease and Desist / Consent Orders,FDIC-03-156b,2008-11-18.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4BIAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-07,2009-12-07,PACIFIC VALLEY BANK;,0;,N/A;,0;,N/A;,PACIFIC VALLEY BANK;,SALINAS;,CA;,57740;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-235b,2008-11-02.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JuAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-11-07,,UNITED BANK OF PHILADELPHIA;,0;,N/A;,0;,N/A;,UNITED BANK OF PHILADELPHIA;,PHILADELPHIA;,PA;,33568;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-272b,2008-11-21.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NEAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-09,,FIRST TUSKEGEE BANK;,0;,N/A;,0;,N/A;,FIRST TUSKEGEE BANK;,TUSKEGEE;,AL;,33519;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-159b,2008-11-01.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JtAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-11-10,,FIRST BANKAMERICANO;,0;,N/A;,0;,N/A;,FIRST BANKAMERICANO;,ELIZABETH;,NJ;,34270;,Termination of Action,Cease and Desist / Consent Orders,FDIC-07-177b,2008-11-20.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NDAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-12,2012-03-30,"BLUE RIDGE SAVINGS BANK, INC.,;",0;,N/A;,0;,N/A;,"BLUE RIDGE SAVINGS BANK, INC.,;",ASHEVILLE;,NC;,32347;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-293b,2008-11-05.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JxAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-13,2010-11-29,MOUNTAIN COMMERCE BANK;,0;,N/A;,0;,N/A;,MOUNTAIN COMMERCE BANK;,ERWIN;,TN;,4931;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-213b,2008-11-07.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JzAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-19,,COMMUNITY BANK OF SAN JOAQUIN;,0;,N/A;,0;,N/A;,COMMUNITY BANK OF SAN JOAQUIN;,STOCKSTON;,CA;,35170;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-302b,2008-11-03.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JvAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-19,2012-08-23,STATE BANK OF PARK RAPIDS;,0;,N/A;,0;,N/A;,STATE BANK OF PARK RAPIDS;,PARK RAPIDS;,MN;,1406;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-107b,2008-11-04.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JwAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-11-25,,SILVER FALLS BANK;,0;,N/A;,0;,N/A;,SILVER FALLS BANK;,SILVERTON;,OR;,35399;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-272b,2008-11-06.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4JyAAK?operationContext=S1
ORDER TO CEASE AND DESIST,2008-12-01,2010-04-19,"FARMERS DEPOSIT BANK OF MIDDLEBURG, INC.;",0;,N/A;,0;,N/A;,"FARMERS DEPOSIT BANK OF MIDDLEBURG, INC.;",MIDDLEBURG;,KY;,10514;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-185b,2008-12-10.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4MQAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,2008-12-01,,"FRANKLIN BANK, S.S.B.;",0;,N/A;,0;,N/A;,"FRANKLIN BANK, S.S.B.;",HOUSTON;,TX;,26870;,Termination of Action,Cease and Desist / Consent Orders,FDIC-08-297b,2008-12-38.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z3x7AAC?operationContext=S1
ORDER TO CEASE AND DESIST,2008-12-01,2011-03-18,ALLIANCE BANKING COMPANY;,0;,N/A;,0;,N/A;,ALLIANCE BANKING COMPANY;,WINCHESTER;,KY;,57424;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-223b,2008-12-11.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4MRAA0?operationContext=S1
ORDER TO CEASE AND DESIST,2008-12-02,2009-04-13,NEW FRONTIER BANK;,0;,N/A;,0;,N/A;,NEW FRONTIER BANK;,GREELEY;,CO;,34881;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-08-320b,2008-12-02.pdf,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4NlAAK?operationContext=S1
