Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-22,,PRAIRIE STATE BANK;,0;,N/A;,0;,N/A;,PRAIRIE STATE BANK;,PRAIRIE;,TX;,26462;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-145b,15021.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51NAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-22,,KIRBY STATE BANK;,0;,N/A;,0;,N/A;,KIRBY STATE BANK;,KIRBY;,TX;,21186;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-39b,15022.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51wAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-09-25,1994-06-21,BANK OF CRIPPLE CREEK;,0;,N/A;,0;,N/A;,BANK OF CRIPPLE CREEK;,CRIPPLE CREEK;,CO;,3007;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-183b,10008.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58RAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-09-26,1991-03-04,FIRST STATE BANK OF DENTON;,0;,N/A;,0;,N/A;,FIRST STATE BANK OF DENTON;,DENTON;,TX;,10348;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-187b,10009.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z50jAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-26,,BANK OF WESSINGTON;,0;,N/A;,0;,N/A;,BANK OF WESSINGTON;,WESSINGTON;,SD;,9007;,Termination of Action,Cease and Desist / Consent Orders,FDIC-84-170b,15024.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53IAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-27,,FIRST STATE BANK;,0;,N/A;,0;,N/A;,FIRST STATE BANK;,IDA GROVE;,IA;,8500;,Termination of Action,Cease and Desist / Consent Orders,FDIC-84-204b,15025.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53JAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-09-29,,THE LASALLE STATE BANK;,0;,N/A;,0;,N/A;,THE LASALLE STATE BANK;,JENA;,LA;,8805;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-252b,15030.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53sAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-29,,TRI-COUNTY STATE BANK;,0;,N/A;,0;,N/A;,TRI-COUNTY STATE BANK;,CHAMBERLAIN;,SD;,1689;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-188b,15029.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53rAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-29,,CITIZENS STATE BANK AT MOHALL;,0;,N/A;,0;,N/A;,CITIZENS STATE BANK AT MOHALL;,MOHALL;,ND;,8632;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-1b,15028.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53qAAC?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-09-29,,FIRST BANKERS TRUST OF BOSSIER CITY;,0;,N/A;,0;,N/A;,FIRST BANKERS TRUST OF BOSSIER CITY;,BOSSIER CITY;,LA;,25595;,Termination of Action,Cease and Desist / Consent Orders,FDIC-87-190b,15027.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53LAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-05,1994-03-15,CITIZENS BANK & TRUST COMPANY;,0;,N/A;,0;,N/A;,CITIZENS BANK & TRUST COMPANY;,COVINGTON;,LA;,16417;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-194b,10011.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51HAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-05,1991-04-18,BANK OF ST. JOHN;,0;,N/A;,0;,N/A;,BANK OF ST. JOHN;,RESERVE;,LA;,8148;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-149b,10010.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51GAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-10-12,,FIRST REPUBLIC BANK;,0;,N/A;,0;,N/A;,FIRST REPUBLIC BANK;,RAYVILLE;,LA;,17107;,Termination of Action,Cease and Desist / Consent Orders,FDIC-85-379b,15032.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z53xAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-12,1990-01-02,FIRST ACADIANA BANK;,0;,N/A;,0;,N/A;,FIRST ACADIANA BANK;,EUNICE;,LA;,19492;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-38b,10012.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51IAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-10-12,,THE OLLA STATE BANK;,0;,N/A;,0;,N/A;,THE OLLA STATE BANK;,OLLA;,LA;,11787;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-56b,15033.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z52eAAC?operationContext=S1
