Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"1st National Bank","8709","","","Lebanon, OH","FA","Formal Agreement","0.00","07/25/2024","AA-CE-2024-27","02/23/2026","","AA-CE-2024-27","Board / Management Oversight; Capital; Earnings; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"42 North Private Bank","713964","","","Canton, MA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/30/2025","AA-ENF-2024-110","","","AA-ENF-2024-110","Board / Management Oversight; Capital; Earnings; Liquidity; Noncompliance with Enforcement Action; Sensitivity to Market Risk; Strategic Planning"
"A J Smith Federal Savings Bank","700358","","","Midlothian, IL","FA","Formal Agreement","0.00","03/08/2012","2012-166","09/19/2013","2013-151","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Abacus Federal Savings Bank","708059","","","New York, NY","FA","Formal Agreement","0.00","04/28/2014","2014-077","02/16/2017","2017-024","","Board / Management Oversight; Earnings; Strategic Planning"
"Acacia Federal Savings Bank","708070","","","Falls Church, VA","FA","Formal Agreement","0.00","12/19/2012","2012-274","10/31/2013","","AA-NEDO-2013-2","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Admirals Bank","713964","","","Boston, MA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/30/2017","2017-027","01/30/2025","AA-ENF-2024-108","OCC-AA-EC-2016-93","Affiliate Transactions (incl. Reg W); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Expense Abuse; General IT Controls; Inaccurate / Incomplete / False Books and Records; Information Technology; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Strategic Planning; Third Party Risk Management"
"Advance Bank","706824","","","Baltimore, MD","FA","Formal Agreement","0.00","02/21/2013","2013-032","03/31/2014","","","Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Alabama Trust Bank, National Association","23896","","","Sylacauga, AL","PCAD","Prompt Corrective Action (PCA) Directive","0.00","04/12/2012","2012-103","05/18/2012","","AA-EC-12-44","Capital; Prompt Corrective Action"
"American Investors Bank and Mortgage","717958","","","Eden Prairie, MN","FA","Formal Agreement","0.00","04/17/2017","2017-037","09/06/2018","2018-075","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies; Strategic Planning"
"Amory FS & LA","702674","","","Amory, MS","FA","Formal Agreement","0.00","03/22/2021","2021-016","08/15/2022","2022-034","AA-SO-2021-2","Audit; Board / Management Oversight; Earnings; Internal Audit; Sensitivity to Market Risk; Strategic Planning"
"Anthem Bank & Trust","703874","","","Plaquemine, LA","FA","Formal Agreement","0.00","08/05/2015","2015-098","05/24/2017","2017-058","","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Capital; Concentration Risk Management; Earnings; Lending Issues; Strategic Planning"
"Atlantic Coast Bank","717022","","","Jacksonville, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/10/2012","2012-184","03/26/2015","2015-030","AA-EC-12-104","Asset Quality; Capital; Concentration Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Atlas Bank","705910","","","Brooklyn, NY","FA","Formal Agreement","0.00","03/15/2012","2012-074","06/30/2014","","","Asset Quality; Audit; Board / Management Oversight; BSA Internal Controls; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Internal Audit; Lending Issues; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue"
"Auburn Savings Bank, FSB","701305","","","Auburn, ME","FA","Formal Agreement","0.00","02/28/2012","2012-070","12/09/2015","2015-144","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Compensation; Credit/Collateral Exceptions; Earnings; Insider Issues; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"B2 Bank National Association","11622","","","Mt. Iron, MN","FA","Formal Agreement","0.00","11/14/2023","2023-036","09/18/2025","AA-CE-2025-48","AA-CE-2023-36","Board / Management Oversight; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Concentration Risk Management; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Strategic Planning"
"Banccentral, National Association","12152","","","Alva, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/09/2021","2021-051","06/20/2025","","AA-SO-2021-40","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Insider Issues; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Bank 360","705919","","","Beresford, SD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/13/2012","2012-022","01/19/2013","","AA-WE-12-23","Asset Quality; Capital; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Liquidity; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Bank of Brenham, National Association","24153","","","Brenham, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/21/2024","AA-SO-2023-56","07/01/2025","","AA-SO-2023-56","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Overdrafts; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Bank of Manhattan, National Association","24754","","","El Segundo, CA","FA","Formal Agreement","0.00","11/20/2014","2014-146","06/26/2015","","","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Capital; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Lending Issues; Other Lending Deficiencies; Strategic Planning"
"Bank of Maumee","718042","","","Maumee, OH","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/03/2012","2012-231","09/05/2018","2018-077","AA-EC-12-118","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"Bank of St. Augustine","714007","","","St. Augustine, FL","FA","Formal Agreement","0.00","03/22/2012","2012-097","08/28/2013","","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Other Lending Deficiencies; Problem Loan Identification"
"Bank of The Lakes, National Association","23235","","","Owasso, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/27/2013","2013-011","03/07/2014","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Earnings; Inaccurate / Incomplete / False Books and Records; Lending Issues; OREO; Other Lending Deficiencies; Strategic Planning"
"Bank of The Rockies, National Association","3375","","","White Sulphur Springs, MT","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/30/2012","2012-215","07/01/2015","2015-087","AA-WE-12-102","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification"
"Beacon Business Bank, National Association","18358","","","San Francisco, CA","FA","Formal Agreement","0.00","12/31/2018","2018-104","02/12/2024","AA-WE-2023-76","AA-WE-2018-67","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Beacon Federal","715220","","","East Syracuse, NY","FA","Formal Agreement","0.00","07/12/2012","2012-169","10/19/2012","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Ben Franklin Bank of Illinois","715152","","","Arlington Heights, IL","FA","Formal Agreement","0.00","02/05/2019","2019-005","09/30/2020","","AA-EC-2019-4","Board / Management Oversight; Capital; Enterprise Governance / Internal Controls / General Risk Management; Strategic Planning"
"Ben Franklin Bank of Illinois","715152","","","Arlington Heights, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/25/2015","2015-122","02/05/2019","2019-007","AA-CE-2015-69","Capital; Strategic Planning"
"Ben Franklin Bank of Illinois","715152","","","Arlington Heights, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/19/2012","2012-266","11/25/2015","2015-122","AA-CE-2012-156","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Flood Insurance; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; TILA/RESPA"
"Blue Grass FS & LA","706361","","","Paris, KY","FA","Formal Agreement","0.00","02/17/2016","2016-021","12/06/2017","2017-107","AA-CE-2016-21","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Lending Issues"
"Blue Ridge Bank, National Association","23903","","","Martinsville, VA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/24/2024","AA-ENF-2023-68","11/13/2025","AA-ENF-2025-58","AA-ENF-2023-68","BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Program Violation / 12 CFR 21.21; BSA Risk Assessment; BSA Violation Cited; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); General IT Controls; Information Technology; Liquidity; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Third Party Risk Management"
"BNB Hana Bank, National Association","20622","","","Fort Lee, NJ","FA","Formal Agreement","0.00","01/23/2015","2015-018","05/31/2022","2022-014","AA-NE-2015-12","Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"BOKF, National Association","13679","","Mary Patricia Campbell","Tulsa, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/20/2018","2018-045","","","AA-EC-2018-23","Securities Activities; Trading & Securities; Trust Activities"
"BOKF, National Association","13679","","Terri Lynn Pulley","Tulsa, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/20/2018","2018-046","","","AA-EC-2018-24","Securities Activities; Trading & Securities; Trust Activities"
"Borrego Springs Bank, National Association","23162","","","Borrego Springs, CA","FA","Formal Agreement","0.00","06/15/2012","2012-134","02/28/2013","","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Insider Issues; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Britton & Koontz Bank, National Association","13722","","","Natchez, MS","FA","Formal Agreement","0.00","02/21/2012","2012-072","05/22/2013","2013-083","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Credit/Collateral Exceptions; Lending Issues; Loan Review; OREO; Problem Loan Identification; Strategic Planning"
"Broadway Federal Bank, F.S.B.","705141","","","Los Angeles, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/30/2013","2013-175","11/23/2015","2015-148","AA-EC-2013-84","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"California International Bank, A National Banking Association","24577","","","Westminster, CA","FA","Formal Agreement","0.00","03/18/2021","2021-015","09/17/2025","AA-WE-2025-52","AA-WE-2021-7","Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies; Strategic Planning"
"Canyon Community Bank, National Association","24049","","","Tucson, AZ","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/29/2013","2013-089","11/30/2021","2021-053","AA-WE-2013-43","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Flood Insurance; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Capitol National Bank","17525","","","Lansing, MI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/30/2015","2015-002","08/02/2018","2018-068","AA-EC-2014-87","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning; Third Party Risk Management"
"Carolina Federal Savings Bank","715721","","","Charleston, SC","PCAD","Prompt Corrective Action (PCA) Directive","0.00","05/09/2012","2012-114","","","","Appraisals; Board / Management Oversight; Capital; Lending Issues; Other Lending Deficiencies; Prompt Corrective Action"
"Carver Federal Savings Bank","705273","","","New York, NY","FA","Formal Agreement","0.00","05/14/2025","AA-NE-2025-18","","","AA-NE-2025-18","Board / Management Oversight; Earnings; Strategic Planning"
"Carver Federal Savings Bank","705273","","","New York, NY","FA","Formal Agreement","0.00","05/24/2016","2016-062","01/18/2023","2023-001","AA-NE-2016-43","Asset Quality; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA Pillar Violation / 12 CFR 21.21(d); BSA Violation Cited; BSA/AML; Capital; Concentration Risk Management; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Lending Issues; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Central FS & LA of Chicago","700529","","","Chicago, IL","FA","Formal Agreement","0.00","06/21/2012","2012-136","03/27/2014","2014-040","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Centrust Bank, National Association","24617","","","Northbrook, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/25/2012","2012-158","04/10/2017","2017-040","AE-EC-12-80","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Certusbank, National Association","24975","","","Greenville, SC","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/06/2014","2014-140","11/02/2015","","","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Cfsbank","703866","","","Charleroi, PA","FA","Formal Agreement","0.00","03/12/2019","2019-011","06/25/2021","2021-029","AA-NEDO-2019-16","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; BSA Officer; BSA/AML; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Lending Issues; Loan Review; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Overdrafts; Problem Loan Identification; Strategic Planning"
"Citibank, N.A.","1461","","","Sioux Falls, SD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/10/2024","AA-EC-2020-64A","12/11/2025","AA-ENF-2025-64","AA-EC-2020-64","Board / Management Oversight; Capital; Compliance Risk Management; Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; Heightened Standards (12 CFR 30, Appx D); Information Technology; Noncompliance with Enforcement Action"
"Citibank, National Association","1461","","","Sioux Falls, SD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/07/2020","2020-056; AA-EC-2020-64A","","","AA-EC-2020-64","Board / Management Oversight; Capital; Compliance Risk Management; Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; Heightened Standards (12 CFR 30, Appx D); Information Technology"
"City National Bank","14695","","","Los Angeles, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/31/2024","AA-ENF-2024-08","","","AA-ENF-2024-08","Audit; BSA Internal Controls; BSA Pillar Violation / 12 CFR 21.21(d); BSA Risk Assessment; BSA SAR Violation / 12 CFR 21.11 or 163.180; BSA Violation Cited; BSA/AML; Compliance Risk Management; Consumer Law; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; Fair Lending; Heightened Standards (12 CFR 30, Appx D); Internal Audit; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Trust Activities"
"City National Bank of New Jersey","16142","","","Newark, NJ","PCAD","Prompt Corrective Action (PCA) Directive","0.00","06/26/2019","2019-031","11/01/2019","","AA-EC-2019-38","Board / Management Oversight; BSA/AML; Capital; Compensation; Compliance Risk Management; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Insider Issues; Liquidity; Prompt Corrective Action; Third Party Risk Management"
"City National Bank of New Jersey","16142","","","Newark, NJ","PCAD","Prompt Corrective Action (PCA) Directive","0.00","11/01/2018","2018-084","06/26/2019","2019-033","AA-EC-2019-39","Enterprise Governance / Internal Controls / General Risk Management; Liquidity; Prompt Corrective Action"
"City National Bank of New Jersey","16142","","","Newark, NJ","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/12/2018","2018-011","11/01/2019","","AA-EC-2018-87","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Program Violation / 12 CFR 21.21; BSA Risk Assessment; BSA Training; BSA Violation Cited; BSA/AML; Capital; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Third Party Risk Management"
"Clay County Savings Bank","704055","","","Liberty, MO","FA","Formal Agreement","0.00","05/23/2012","2012-138","12/10/2014","2014-168","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Colombo Bank","707173","","","Rockville, MD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/04/2013","2013-192","07/26/2016","2016-126","AA-EC-2013-105","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Concentration Risk Management; Lending Issues; Liquidity; OREO; Problem Loan Identification; Strategic Planning"
"Colombo Bank","708575","","","Rockville, MD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/09/2012","2012-159","12/04/2013","2013-192","AA-EC-12-74","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies"
"Colonial Bank, FSB","704983","","","Vineland, NJ","FA","Formal Agreement","0.00","05/30/2013","2013-075","04/01/2015","","AA-NE-2013-41","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Earnings; Lending Issues; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Colorado Federal Savings Bank","708876","","","Greenwood Village, CO","FA","Formal Agreement","0.00","10/03/2014","2014-131","07/08/2016","2016-068","","Affiliate Transactions (incl. Reg W); Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Internal Audit; Lending Issues; Loans to Insiders (incl. Reg O); OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Sensitivity to Market Risk; Strategic Planning; Third Party Risk Management"
"Colorado National Bank","8004","","","Palisade, CO","FA","Formal Agreement","0.00","05/31/2016","2016-058","03/30/2021","2021-020","","BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Concentration Risk Management; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Loan Review; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Trust Activities"
"Commerce National Bank & Trust","24359","","","Winter Park, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/24/2012","2012-002","06/12/2014","2014-097","AA-SO-12-15","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Insider Issues; Lending Issues; Liquidity; Loan Review; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Commonwealth Bank, FSB","706591","","","MT. Sterling, KY","FA","Formal Agreement","0.00","01/08/2013","2013-112","05/31/2015","","","Audit; Capital; Earnings; Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; Loans to Insiders (incl. Reg O)"
"Commonwealth National Bank","16553","","","Mobile, AL","FA","Formal Agreement","0.00","01/31/2022","2022-001","05/16/2024","AA-ENF-2024-44","AA-ENF-2021-50","Audit; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Other Lending Deficiencies; Strategic Planning"
"Commonwealth National Bank","16553","","","Mobile, AL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/18/2015","2015-137","01/31/2022","2022-002","AA-EC-2015-42","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Commonwealth National Bank","16553","","","Mobile, AL","FA","Formal Agreement","0.00","06/15/2012","2012-133","12/18/2015","2015-137","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Community Bank","705307","","","Staunton, VA","FA","Formal Agreement","0.00","08/09/2012","2012-194","01/10/2013","","AA-NE-2012-111","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification"
"Community Federal Savings Bank","717528","","","Woodhaven, NY","FA","Formal Agreement","0.00","02/20/2020","2020-017","01/20/2022","2022-004","AA-NE-2020-8","Board / Management Oversight; Earnings; Strategic Planning"
"Community Federal Savings Bank","717528","","","Woodhaven, NY","FA","Formal Agreement","0.00","02/06/2014","2014-034","02/20/2020","2020-020","AA-NE-2020-10","Board / Management Oversight; BSA/AML; Earnings; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Community Savings","700646","","","Caldwell, OH","FA","Formal Agreement","0.00","01/22/2013","2013-013","03/19/2015","2015-031","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Capital; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Community West Bank, National Association","21699","","","Goleta, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/26/2012","2012-018","01/27/2014","2014-007","AA-EC-12-16","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Liquidity; Loan Review; OREO; Problem Loan Identification; Strategic Planning"
"Cornerstonebank","715682","","","Atlanta, GA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/11/2012","2012-265","10/01/2021","","AA-EC-12-25","Allowance for Losses (ALLL / ACL); Capital; Concentration Risk Management; Credit/Collateral Exceptions; Legal Lending Limit; Lending Issues; Liquidity; Loan Review; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Dearborn FSB","704241","","","Dearborn, MI","FA","Formal Agreement","0.00","01/16/2025","AA-CE-2025-02","12/17/2025","AA-CE-2025-67","AA-CE-2025-02","Audit; Board / Management Oversight; Compensation; Compliance Risk Management; Consumer Law; Earnings; Fair Lending; Inaccurate / Incomplete / False Books and Records; Insider Issues; Internal Audit; Strategic Planning; TILA/RESPA; Unfair or Deceptive (UDAP)"
"Delanco Federal Savings Bank","701993","","","Delanco, NJ","FA","Formal Agreement","0.00","11/21/2012","2012-269","09/27/2017","","AA-NEDO-2012-152","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Strategic Planning"
"Eagle National Bank","21118","","","Upper Darby, PA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/06/2012","2012-021","04/06/2014","2014-083","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
