Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"Security Bank National Association","16870","","","North Lauderdale, FL","PCAD","Prompt Corrective Action (PCA) Directive","0.00","03/23/2012","2012-076","05/04/2012","","AA-EC-12-43","Capital; Prompt Corrective Action"
"Severn Savings Bank, FSB","708190","","","Annapolis, MD","FA","Formal Agreement","0.00","04/23/2013","2013-047","10/15/2015","2015-115","AA-NE-13-31","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Liquidity; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Sidney Federal Savings and Loan Association","703360","","","Sidney, NE","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/19/2021","2021-003","","","AA-WE-2020-74","Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Slavie Federal Savings Bank","708191","","","Bel Air, MD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/07/2014","2014-004","05/30/2014","","AA-EC-2013-104","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Loan Review; OREO; Problem Loan Identification; Strategic Planning"
"Slavie Federal Savings Bank","708191","","","Bel Air, MD","FA","Formal Agreement","0.00","07/17/2012","2012-191","01/07/2014","2014-004","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Slovenian S&LA of Franklin-Conemaugh","707703","","","Conemaugh, PA","FA","Formal Agreement","0.00","07/26/2024","AA-CE-2024-65","03/03/2026","","AA-CE-2024-65","Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Officer; BSA Pillar Violation / 12 CFR 21.21(d); BSA Training; BSA Violation Cited; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"Solera National Bank","24737","","","Lakewood, CO","FA","Formal Agreement","0.00","11/18/2014","2014-147","02/21/2017","2017-021","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Southbank, A Federal Savings Bank","708854","","","Huntsville, AL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/28/2012","2012-125","05/06/2016","","","Asset Quality; BSA Independent Testing/Audit; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Lending Issues; Other Lending Deficiencies; Strategic Planning"
"Southbank, A Federal Savings Bank","711351","","","Palm Beach Gardens, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/28/2012","2012-092","07/31/2015","","","Asset Quality; BSA Independent Testing/Audit; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Lending Issues; Other Lending Deficiencies; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Southfirst Bank","705329","","","Sylacauga, AL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/15/2012","2012-182","03/28/2016","2016-051","AA-EC-2012-109","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Problem Loan Identification; Strategic Planning"
