Country Name,Country Code,Time,Time Code,Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Real interest rate (%) [FR.INR.RINR],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
United States,USA,1995,YR1995,1.19078709090209,266278000,28690.8757013347,7639749000000,2.6844307317787,1.46892916699841,6.59421796734386,2.80541968853662,5.65
United States,USA,1996,YR1996,1.16341161998189,269394000,29967.7127181749,8073122000000,3.77277269119453,2.57246399944282,6.32428599296519,2.93120419993441,5.451
United States,USA,1997,YR1997,1.20396029701272,272657000,31459.1389804773,8577554457000,4.44712793566428,3.19716560770618,6.60331688123844,2.33768993730735,5
United States,USA,1998,YR1998,1.16571452642589,275854000,32853.6769523009,9062818202000,4.48313335374613,3.27222984199015,7.14996175417604,1.55227909874364,4.511
United States,USA,1999,YR1999,1.14834004729055,279040000,34515.3902272076,9631174489000,4.78842504725272,3.59198037193539,6.48725394907382,2.18802719697358,4.219
United States,USA,2000,YR2000,1.11276899679534,282162411,36329.9560727102,10250947997000,4.07758575682804,2.92586254370109,6.81386177218246,3.37685727149929,3.992
United States,USA,2001,YR2001,0.989741382223669,284968955,37133.623113437,10581929774000,0.955538348341605,-0.0387319237247254,4.56709046371912,2.82617111885407,4.731
United States,USA,2002,YR2002,0.927797485710314,287625193,37997.7596573051,10929112955000,1.70044732643726,0.7612368560753,3.07320805338916,1.58603162650601,5.783
United States,USA,2003,YR2003,0.859481712840946,290107933,39490.2749557007,11456442041000,2.79560596320081,1.91588247508415,2.10671171585721,2.27009497336115,5.989
United States,USA,2004,YR2004,0.925483968943482,292805298,41724.6316287624,12217193198000,3.84777169556921,2.89111091581917,1.60763317917852,2.67723669309172,5.529
United States,USA,2005,YR2005,0.921713167161207,295516599,44123.4070679055,13039199193000,3.48354993555606,2.53411070482159,2.96083428030713,3.3927468454955,5.084
United States,USA,2006,YR2006,0.964253917136075,298379912,46302.0008800056,13815586948000,2.78453963650701,1.79819874456308,4.72785135317774,3.22594410070404,4.623
United States,USA,2007,YR2007,0.951055242772428,301231207,48050.2237771135,14474226905000,2.00385829784946,1.03834382130532,5.19990178361212,2.85267248150138,4.622
United States,USA,2008,YR2008,0.945865287282592,304093966,48570.0459804586,14769857911000,0.113587249881704,-0.828888119464764,3.10106296496386,3.839100296651,5.784
United States,USA,2009,YR2009,0.876651298802912,306771529,47194.9433547336,14478064934000,-2.57650022958367,-3.42683193789478,2.61706389356322,-0.355546266299747,9.254
United States,USA,2010,YR2010,0.846129865832117,309378227,48642.6100179312,15048964444000,2.69519257744442,1.82992369379657,2.01031249832462,1.6400434423899,9.633
United States,USA,2011,YR2011,0.79239433316435,311839461,50024.868799398,15599728123000,1.56440685763506,0.762796405429199,1.16287972647355,3.156841568622,8.949
United States,USA,2012,YR2012,0.79838290137163,314339099,51708.4011556577,16253972230000,2.28911338669843,1.47570596897309,1.362424650544,2.06933726526067,8.069
United States,USA,2013,YR2013,0.756560083436754,316726282,53179.0127634561,16843190993000,2.11783009790057,1.34816252731798,1.7482101512619,1.46483265562717,7.375
United States,USA,2014,YR2014,0.796023797809134,319257560,54973.4207515712,17550680174000,2.52381981363968,1.71094543857326,1.58866664005878,1.62222297740817,6.168
United States,USA,2015,YR2015,0.797904713382564,321815121,56572.9188996063,18206020741000,2.94555045484053,2.12741138123612,2.4751634842667,0.118627135552451,5.28
United States,USA,2016,YR2016,0.785625485688815,324353340,57638.1018367192,18695110842000,1.81945147788167,1.02266589117943,2.63773113762977,1.26158320570536,4.869
United States,USA,2017,YR2017,0.692906252591617,326608609,59635.0984397965,19477336549000,2.45762229852507,1.75014094923958,2.37161907294657,2.13011000365961,4.355
United States,USA,2018,YR2018,0.586433075122573,328529577,62499.8744390068,20533057312000,2.96650506901305,2.36444249943987,2.46243186978415,2.44258329692817,3.896
United States,USA,2019,YR2019,0.515108555014533,330226227,64746.4506778863,21380976119000,2.58382533412825,2.05676590328193,3.71968036171318,1.81221007526021,3.669
United States,USA,2020,YR2020,0.408427566758519,331577720,63515.9491807833,21060473613000,-2.16302914036166,-2.56180738534749,2.84614797883626,1.23358439630629,8.055
United States,USA,2021,YR2021,0.157317408951545,332099760,70205.050916026,23315080560000,6.05505293244555,5.88834103890834,-1.08716753956254,4.69785886363742,5.349
United States,USA,2022,YR2022,0.575744520494521,334017321,76657.2488844403,25604848907611,2.51237531986017,1.92386172918107,..,8.00279982052121,3.65
United States,USA,2023,YR2023,0.83149318773707,336806231,81032.262117545,27292170793214.4,2.88755600749487,2.03559987540991,..,4.11633838374488,3.638
United States,USA,2024,YR2024,0.976421684505429,340110988,84534.0407841548,28750956130731.2,2.79300127716779,1.79419235153047,..,2.94952520485207,4.022
United States,USA,2025,YR2025,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,
